,Subject,Start Date,Start Time,End Time,Description
0,CITY Orientation,2019-10-11,12:30 PM,1:30 PM,use last year's
1,Immersive Tech Bootcamp Session 2: Intro MR,2019-10-12,12:00 PM,3:00 PM,"This workshop is an session focused on immersive technologies. We'll start with a short talk about immersive tech and a few demonstrations. Afterwards, we'll delve into the Unity Game Engine to discuss how to build an immersive experience. This workshop is geared towards those with little to no programming experience, but all levels are welcome.
Skills Covered Include:
- Introduction to Unity
- Building a 3D environment in Unity
- Creating a Virtual Reality environment in Unity
- Developing Augmented Reality applications in Unity"
2,WE@Yale Allies,2019-10-22,TBD,TBD,TBD
3,Innovators Toolkit Workshop,2019-10-23,12:30 PM,2:00 PM,"Title: Business Law 101 

Business Law 101 is a beginner's guide to the various legal entities of a business and how to start the process. This workshop will provide a brief overview of the key ways to legalize and protect your business, and clarify the differences among them."
4,CITY Orientation,2019-10-24,11:30 AM,12:30 PM,use last year's
5,"Yale Innovation, Remixed: Event & Reception",2019-10-24,4:00 PM,6:00 PM,"Join the Tsai Center for Innovative Thinking at Yale (Tsai CITY) and the Center for Science and Social Science Information (CSSSI) for a lively conversation and reception to celebrate the opening of Yale Innovation Remixed, a media exhibit at the CSSSI. The exhibit explores Tsai CITY's programs alongside stories of Yale innovations that span time periods, disciplines, and focus areas.

At this event, you'll hear about the exhibit and Yale's ecosystem for entrepreneurship and innovation. Inspiring student innovators will share the stories behind the projects and ventures they're currently building, before we continue the conversation over refreshments. Throughout the program, we'll consider the art of the remix: taking different elements or ideas and finding new ways to combine them — creating something novel in the process."
6,Clinical Redesign Open Workshop 1,2019-10-25,12:00 PM,1:30 PM,"[LAURA, please edit -- looking to attract non-clinical majors; have had good success in prior cohorts with PhD students given their level of commitment. This workshop would be entryway to Spring cohort for a select group to do project work.]
Are you interested in tackling healthcare’s toughest challenges? Do you have a unique way of approaching a problem and arriving at a creative solution? The Clinical Redesign team is interested in engaging students of non-clinical and diverse disciplines to take a first-hand look at challenges facing frontline healthcare providers. The Clinical Redesign team helps YNHHS staff “rethink” how to deliver care, “realign” resources to better meet patients’ needs, and “redesign” the processes that are crucial to the successful, sustainable delivery of that care. Come and learn more about Clinical Redesign in this 2-session workshop and provide a fresh perspective to healthcare’s toughest challenges. "
7,Clinical Redesign Open Workshop 2,2019-10-30,12:00 PM,1:30 PM,TBD
8,Arts + Media Innovation Fund - Applications Due,2019-10-30,TBD,TBD,
9,Space Exploration Workshop Series: Prototyping our Life in Space,2019-11-01,10:00 AM,3:00 PM,"Space will be hackable. Space will be playful.

With humanity at the cusp of interplanetary civilization, it's time to build the technologies, tools, and human experiences of our Sci-Fi Space Future. To do so, we unite artists, scientists, engineers, and designers in creating space technologies that envision a bold and culturally rich “new space age”-- from astro-bacteria wearables, to open-access and shareable cubesat constellations, to musical instruments for our space voyages, to floating space habitats, to advanced zero-gravity 3D printing. The MIT Space Exploration Initiative (SEI) supports 40+ research projects, regular zero-g parabolic flights, suborbital and orbital launch research deployments, and a team of 50+ students, staff, and faculty--we aim to found a real-life Starfleet Academy. The SEI is coming to Yale this fall to lead workshops in four of our core research areas and introduce student teams to opportunities to fly in Zero Gravity. We hope you'll join us! Feel free to join for as many of the morning and afternoon sessions as you like--you do not need to attend all four topic areas."
