,Subject,Start Date,Start Time,End Time,Description
0,Avangrid Innovation Forum,2019-10-10,9:00 AM,5:00 PM ,Showcase the pilot project with Avangrid using the OpenClimate platform incubated at the OpenLab
1,Food Product Intensive Session 2,2019-10-10,1:30 PM,4:30 PM,"For the food-obsessed, the secret chefs, and the ambitious eaters—step away from your studies with an extracurricular intensive (a deep-dive, 5-session workshop) you can really dig your teeth into from Tsai CITY, the Landscape Lab, and the Sustainable Food Program. Over five weeks, the 5-session food intensive will explore how to take an idea or prototype for a food product—like your crazy idea for plankton-based pasta, the recipe you’re working on for a super-high-tech energy bar, or the local-food-based meals you've been stocking your freezer with—from a big idea in your dorm kitchen to the global market.



The five sessions will walk you through the steps of transforming an idea into a product, and a product into production: addressing ethics, sourcing ingredients, manufacturing food products, defining your brand, taking goods to market, and working towards scale. Learn from industry experts about the best techniques for creating your own secret sauce, the right person to talk to for your key ingredients, and what a recipe for success looks like in the food industry. Develop your idea, your pitch, and your brand through discussion with industry experts, group critiques of what you're working on, and in-depth mentorship."
2,OpenLab - Team meeting 2 / Climate Accounting,2019-10-10,5:00 PM,7:00 PM,Openlab meeting to discuss progress of the OpenClimate project
3,CITY Accelerator - Fall ,2019-10-11,11:00 AM,3:00 PM,"use last years

"
4,Junzi 4 Year Anniversary Party,2019-10-21,2:00 PM,3:30 PM,
5,CITY Accelerator - Fall ,2019-10-25,11:00 AM,3:00 PM,"use last years

"
6,Financing Innovative Ideas Intensive Session 1,2019-10-28,6:00 PM,9:00 PM,"This will be Tsai CITY’s first-ever Intensive focused on finance. We’ll explore how to raise and direct capital towards innovation that makes the world a better place.

Students will work in teams to build financial models, develop financing strategies, and communicate impact in creative ways that might not be apparent from the numbers alone. Students will have time over winter break to ground-truth their assumptions and build out their models in detail (students can dedicate as much time as they see fit during this period). Then they’ll reconvene in the spring to share their work and assess what others have produced.

The Intensive will be a great opportunity to explore issues at the intersection of finance, entrepreneurship, and social/environmental responsibility. "
7,Dave Menard Office Hours ,2019-10-28,10:00 AM,1:00 PM,Schedule 25-minute one-on-one time with legal expert Dave Menard of Murtha Cullina. 
8,Food Product Intensive Session 3,2019-10-31,1:30 PM,4:30 PM,"For the food-obsessed, the secret chefs, and the ambitious eaters—step away from your studies with an extracurricular intensive (a deep-dive, 5-session workshop) you can really dig your teeth into from Tsai CITY, the Landscape Lab, and the Sustainable Food Program. Over five weeks, the 5-session food intensive will explore how to take an idea or prototype for a food product—like your crazy idea for plankton-based pasta, the recipe you’re working on for a super-high-tech energy bar, or the local-food-based meals you've been stocking your freezer with—from a big idea in your dorm kitchen to the global market.



The five sessions will walk you through the steps of transforming an idea into a product, and a product into production: addressing ethics, sourcing ingredients, manufacturing food products, defining your brand, taking goods to market, and working towards scale. Learn from industry experts about the best techniques for creating your own secret sauce, the right person to talk to for your key ingredients, and what a recipe for success looks like in the food industry. Develop your idea, your pitch, and your brand through discussion with industry experts, group critiques of what you're working on, and in-depth mentorship."
9,CITY Accelerator - Fall ,2019-11-01,11:00 AM,3:00 PM,"use last years

"
10,Eco-Entrepreneurs Pitch Competition at YESS,2019-11-01,5:00 PM,6:15 PM,"Yale students and alumni working on environmental ventures will pitch their ideas to the audience of the Yale Environmental Sustainability Summit, which includes alumni and other sustainability professionals."
11,Financing Innovative Ideas Intensive Session 2,2019-11-04,6:00 PM,9:00 PM,"This will be Tsai CITY’s first-ever Intensive focused on finance. We’ll explore how to raise and direct capital towards innovation that makes the world a better place.

Students will work in teams to build financial models, develop financing strategies, and communicate impact in creative ways that might not be apparent from the numbers alone. Students will have time over winter break to ground-truth their assumptions and build out their models in detail (students can dedicate as much time as they see fit during this period). Then they’ll reconvene in the spring to share their work and assess what others have produced.

The Intensive will be a great opportunity to explore issues at the intersection of finance, entrepreneurship, and social/environmental responsibility. "
12,Tsai CITY Staff Training - Listening and Empathy Skillbuilding,2019-11-05,10:00 AM,11:00 AM,Staff Training - Listening and Empathy Skillbuilding presented by Dr. Auguste Fortin
13,Student Advisory Board Meeting,2019-11-07,5:30 PM,7:00 PM,
